Aug 19 17:01:27 smarty run.sh[905909]: 10.53.439.186 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.253 (> 0.100 thold), f_keep = 0.253
Aug 19 17:04:04 smarty run.sh[905909]: 13.30.296.203 I slot      release: id  0 | task 3056 | stop processing: n_tokens = 102077, truncated = 0
Aug 19 17:04:04 smarty run.sh[905909]: 13.30.525.569 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.999 (> 0.100 thold), f_keep = 1.000
Aug 19 17:04:04 smarty run.sh[905909]: 13.30.526.055 I slot launch_slot_: id  0 | task 3091 | processing task, is_child = 0
Aug 19 17:04:08 smarty run.sh[905909]: 13.34.051.146 I slot print_timing: id  0 | task 3091 | n_gen =    296, tg =  97.89 t/s, tg_3s =  98.22 t/s
Aug 19 17:04:09 smarty run.sh[905909]: 13.35.023.821 I slot print_timing: id  0 | task 3091 | prompt eval time =     511.30 ms /   132 tokens (    3.87 ms per token,   258.17 tokens per second)
Aug 19 17:04:09 smarty run.sh[905909]: 13.35.023.823 I slot print_timing: id  0 | task 3091 |        eval time =    3986.20 ms /   392 tokens (   10.19 ms per token,    98.09 tokens per second)
Aug 19 17:04:09 smarty run.sh[905909]: 13.35.023.823 I slot print_timing: id  0 | task 3091 |       total time =    4497.50 ms /   524 tokens
Aug 19 17:04:09 smarty run.sh[905909]: 13.35.023.824 I slot print_timing: id  0 | task 3091 |    graphs reused =       3021
Aug 19 17:04:09 smarty run.sh[905909]: 13.35.023.826 I slot print_timing: id  0 | task 3091 | draft acceptance = 0.82596 (  280 accepted /   339 generated), mean len =  3.48
Aug 19 17:04:09 smarty run.sh[905909]: 13.35.025.678 I slot      release: id  0 | task 3091 | stop processing: n_tokens = 102602, truncated = 0
Aug 19 17:04:09 smarty run.sh[905909]: 13.35.301.241 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.998 (> 0.100 thold), f_keep = 1.000
Aug 19 17:04:09 smarty run.sh[905909]: 13.35.301.767 I slot launch_slot_: id  0 | task 3207 | processing task, is_child = 0
Aug 19 17:04:11 smarty run.sh[905909]: 13.37.170.388 I slot print_timing: id  0 | task 3207 | prompt eval time =     606.39 ms /   213 tokens (    2.85 ms per token,   351.26 tokens per second)
Aug 19 17:04:11 smarty run.sh[905909]: 13.37.170.390 I slot print_timing: id  0 | task 3207 |        eval time =    1262.06 ms /   113 tokens (   11.27 ms per token,    88.74 tokens per second)
Aug 19 17:04:11 smarty run.sh[905909]: 13.37.170.390 I slot print_timing: id  0 | task 3207 |       total time =    1868.45 ms /   326 tokens
Aug 19 17:04:11 smarty run.sh[905909]: 13.37.170.390 I slot print_timing: id  0 | task 3207 |    graphs reused =       3055
Aug 19 17:04:11 smarty run.sh[905909]: 13.37.170.392 I slot print_timing: id  0 | task 3207 | draft acceptance = 0.70370 (   76 accepted /   108 generated), mean len =  3.11
Aug 19 17:04:11 smarty run.sh[905909]: 13.37.172.168 I slot      release: id  0 | task 3207 | stop processing: n_tokens = 102927, truncated = 0
Aug 19 17:04:11 smarty run.sh[905909]: 13.37.393.787 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.996 (> 0.100 thold), f_keep = 1.000
Aug 19 17:04:11 smarty run.sh[905909]: 13.37.394.306 I slot launch_slot_: id  0 | task 3246 | processing task, is_child = 0
Aug 19 17:04:13 smarty run.sh[905909]: 13.39.148.226 I slot print_timing: id  0 | task 3246 | prompt eval time =     717.91 ms /   417 tokens (    1.72 ms per token,   580.85 tokens per second)
Aug 19 17:04:13 smarty run.sh[905909]: 13.39.148.228 I slot print_timing: id  0 | task 3246 |        eval time =    1035.67 ms /    98 tokens (   10.68 ms per token,    93.66 tokens per second)
Aug 19 17:04:13 smarty run.sh[905909]: 13.39.148.228 I slot print_timing: id  0 | task 3246 |       total time =    1753.58 ms /   515 tokens
Aug 19 17:04:13 smarty run.sh[905909]: 13.39.148.228 I slot print_timing: id  0 | task 3246 |    graphs reused =       3082
Aug 19 17:04:13 smarty run.sh[905909]: 13.39.148.231 I slot print_timing: id  0 | task 3246 | draft acceptance = 0.80460 (   70 accepted /    87 generated), mean len =  3.41
Aug 19 17:04:13 smarty run.sh[905909]: 13.39.149.976 I slot      release: id  0 | task 3246 | stop processing: n_tokens = 103443, truncated = 0
Aug 19 17:04:13 smarty run.sh[905909]: 13.39.366.559 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.995 (> 0.100 thold), f_keep = 1.000
Aug 19 17:04:13 smarty run.sh[905909]: 13.39.367.073 I slot launch_slot_: id  0 | task 3278 | processing task, is_child = 0
Aug 19 17:04:17 smarty run.sh[905909]: 13.43.198.209 I slot print_timing: id  0 | task 3278 | n_gen =    271, tg =  90.00 t/s, tg_3s =  90.33 t/s
Aug 19 17:04:17 smarty run.sh[905909]: 13.43.636.867 I slot print_timing: id  0 | task 3278 | prompt eval time =     830.87 ms /   553 tokens (    1.50 ms per token,   665.57 tokens per second)
Aug 19 17:04:17 smarty run.sh[905909]: 13.43.636.869 I slot print_timing: id  0 | task 3278 |        eval time =    3438.71 ms /   307 tokens (   11.24 ms per token,    88.99 tokens per second)
Aug 19 17:04:17 smarty run.sh[905909]: 13.43.636.870 I slot print_timing: id  0 | task 3278 |       total time =    4269.57 ms /   860 tokens
Aug 19 17:04:17 smarty run.sh[905909]: 13.43.636.870 I slot print_timing: id  0 | task 3278 |    graphs reused =       3177
Aug 19 17:04:17 smarty run.sh[905909]: 13.43.636.872 I slot print_timing: id  0 | task 3278 | draft acceptance = 0.72509 (  211 accepted /   291 generated), mean len =  3.18
Aug 19 17:04:17 smarty run.sh[905909]: 13.43.638.585 I slot      release: id  0 | task 3278 | stop processing: n_tokens = 104304, truncated = 0
Aug 19 17:04:17 smarty run.sh[905909]: 13.43.898.143 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.998 (> 0.100 thold), f_keep = 1.000
Aug 19 17:04:17 smarty run.sh[905909]: 13.43.898.688 I slot launch_slot_: id  0 | task 3379 | processing task, is_child = 0
Aug 19 17:04:19 smarty run.sh[905909]: 13.45.741.234 I slot print_timing: id  0 | task 3379 | prompt eval time =     574.30 ms /   171 tokens (    3.36 ms per token,   297.75 tokens per second)
Aug 19 17:04:19 smarty run.sh[905909]: 13.45.741.236 I slot print_timing: id  0 | task 3379 |        eval time =    1268.07 ms /   111 tokens (   11.53 ms per token,    86.75 tokens per second)
Aug 19 17:04:19 smarty run.sh[905909]: 13.45.741.236 I slot print_timing: id  0 | task 3379 |       total time =    1842.37 ms /   282 tokens
Aug 19 17:04:19 smarty run.sh[905909]: 13.45.741.236 I slot print_timing: id  0 | task 3379 |    graphs reused =       3212
Aug 19 17:04:19 smarty run.sh[905909]: 13.45.741.238 I slot print_timing: id  0 | task 3379 | draft acceptance = 0.69444 (   75 accepted /   108 generated), mean len =  3.08
Aug 19 17:04:19 smarty run.sh[905909]: 13.45.743.023 I slot      release: id  0 | task 3379 | stop processing: n_tokens = 104586, truncated = 0
Aug 19 17:04:20 smarty run.sh[905909]: 13.45.981.383 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.993 (> 0.100 thold), f_keep = 1.000
Aug 19 17:04:20 smarty run.sh[905909]: 13.45.981.924 I slot launch_slot_: id  0 | task 3418 | processing task, is_child = 0
Aug 19 17:04:24 smarty run.sh[905909]: 13.49.957.979 I slot print_timing: id  0 | task 3418 | prompt eval time =     975.18 ms /   716 tokens (    1.36 ms per token,   734.22 tokens per second)
Aug 19 17:04:24 smarty run.sh[905909]: 13.49.957.981 I slot print_timing: id  0 | task 3418 |        eval time =    3000.61 ms /   291 tokens (   10.35 ms per token,    96.65 tokens per second)
Aug 19 17:04:24 smarty run.sh[905909]: 13.49.957.981 I slot print_timing: id  0 | task 3418 |       total time =    3975.80 ms /  1007 tokens
Aug 19 17:04:24 smarty run.sh[905909]: 13.49.957.981 I slot print_timing: id  0 | task 3418 |    graphs reused =       3294
Aug 19 17:04:24 smarty run.sh[905909]: 13.49.957.983 I slot print_timing: id  0 | task 3418 | draft acceptance = 0.82540 (  208 accepted /   252 generated), mean len =  3.48
Aug 19 17:04:24 smarty run.sh[905909]: 13.49.959.790 I slot      release: id  0 | task 3418 | stop processing: n_tokens = 105594, truncated = 0
Aug 19 17:04:24 smarty run.sh[905909]: 13.50.228.934 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.997 (> 0.100 thold), f_keep = 1.000
Aug 19 17:04:24 smarty run.sh[905909]: 13.50.229.480 I slot launch_slot_: id  0 | task 3506 | processing task, is_child = 0
Aug 19 17:04:27 smarty run.sh[905909]: 13.53.245.705 I slot print_timing: id  0 | task 3506 | prompt eval time =     667.48 ms /   283 tokens (    2.36 ms per token,   423.99 tokens per second)
Aug 19 17:04:27 smarty run.sh[905909]: 13.53.245.707 I slot print_timing: id  0 | task 3506 |        eval time =    2348.58 ms /   237 tokens (    9.95 ms per token,   100.49 tokens per second)
Aug 19 17:04:27 smarty run.sh[905909]: 13.53.245.707 I slot print_timing: id  0 | task 3506 |       total time =    3016.06 ms /   520 tokens
Aug 19 17:04:27 smarty run.sh[905909]: 13.53.245.708 I slot print_timing: id  0 | task 3506 |    graphs reused =       3358
Aug 19 17:04:27 smarty run.sh[905909]: 13.53.245.709 I slot print_timing: id  0 | task 3506 | draft acceptance = 0.85859 (  170 accepted /   198 generated), mean len =  3.58
Aug 19 17:04:27 smarty run.sh[905909]: 13.53.247.527 I slot      release: id  0 | task 3506 | stop processing: n_tokens = 106113, truncated = 0
Aug 19 17:04:27 smarty run.sh[905909]: 13.53.452.969 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.998 (> 0.100 thold), f_keep = 1.000
Aug 19 17:04:27 smarty run.sh[905909]: 13.53.453.501 I slot launch_slot_: id  0 | task 3575 | processing task, is_child = 0
Aug 19 17:04:31 smarty run.sh[905909]: 13.57.065.795 I slot print_timing: id  0 | task 3575 | n_gen =    287, tg =  94.46 t/s, tg_3s =  94.79 t/s
Aug 19 17:04:34 smarty run.sh[905909]: 14.00.080.522 I slot print_timing: id  0 | task 3575 | n_gen =    609, tg = 100.62 t/s, tg_3s = 106.81 t/s
Aug 19 17:04:37 smarty run.sh[905909]: 14.03.096.577 I slot print_timing: id  0 | task 3575 | n_gen =    925, tg = 102.00 t/s, tg_3s = 104.77 t/s
Aug 19 17:04:40 smarty run.sh[905909]: 14.06.112.475 I slot print_timing: id  0 | task 3575 | n_gen =   1225, tg = 101.37 t/s, tg_3s =  99.47 t/s
Aug 19 17:04:43 smarty run.sh[905909]: 14.09.125.194 I slot print_timing: id  0 | task 3575 | n_gen =   1450, tg =  96.04 t/s, tg_3s =  74.68 t/s
Aug 19 17:04:46 smarty run.sh[905909]: 14.12.136.840 I slot print_timing: id  0 | task 3575 | n_gen =   1674, tg =  92.44 t/s, tg_3s =  74.38 t/s
Aug 19 17:04:49 smarty run.sh[905909]: 14.15.163.401 I slot print_timing: id  0 | task 3575 | n_gen =   1975, tg =  93.44 t/s, tg_3s =  99.45 t/s
Aug 19 17:04:52 smarty run.sh[905909]: 14.18.175.815 I slot print_timing: id  0 | task 3575 | n_gen =   2307, tg =  95.54 t/s, tg_3s = 110.21 t/s
Aug 19 17:04:55 smarty run.sh[905909]: 14.21.187.200 I slot print_timing: id  0 | task 3575 | n_gen =   2632, tg =  96.91 t/s, tg_3s = 107.92 t/s
Aug 19 17:04:58 smarty run.sh[905909]: 14.24.192.154 I slot print_timing: id  0 | task 3575 | n_gen =   2957, tg =  98.03 t/s, tg_3s = 108.16 t/s
Aug 19 17:05:01 smarty run.sh[905909]: 14.27.208.435 I slot print_timing: id  0 | task 3575 | n_gen =   3271, tg =  98.58 t/s, tg_3s = 104.10 t/s
Aug 19 17:05:03 smarty run.sh[905909]: 14.29.702.378 I slot print_timing: id  0 | task 3575 | prompt eval time =     584.45 ms /   167 tokens (    3.50 ms per token,   285.74 tokens per second)
Aug 19 17:05:03 smarty run.sh[905909]: 14.29.702.380 I slot print_timing: id  0 | task 3575 |        eval time =   35664.07 ms /  3540 tokens (   10.08 ms per token,    99.23 tokens per second)
Aug 19 17:05:03 smarty run.sh[905909]: 14.29.702.381 I slot print_timing: id  0 | task 3575 |       total time =   36248.52 ms /  3707 tokens
Aug 19 17:05:03 smarty run.sh[905909]: 14.29.702.382 I slot print_timing: id  0 | task 3575 |    graphs reused =       4333
Aug 19 17:05:03 smarty run.sh[905909]: 14.29.702.384 I slot print_timing: id  0 | task 3575 | draft acceptance = 0.86013 ( 2552 accepted /  2967 generated), mean len =  3.58
Aug 19 17:05:03 smarty run.sh[905909]: 14.29.704.271 I slot      release: id  0 | task 3575 | stop processing: n_tokens = 109821, truncated = 0
Aug 19 17:05:04 smarty run.sh[905909]: 14.29.957.376 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.994 (> 0.100 thold), f_keep = 1.000
Aug 19 17:05:04 smarty run.sh[905909]: 14.29.957.894 I slot launch_slot_: id  0 | task 4567 | processing task, is_child = 0
Aug 19 17:05:08 smarty run.sh[905909]: 14.33.955.874 I slot print_timing: id  0 | task 4567 | n_gen =    230, tg =  76.10 t/s, tg_3s =  76.42 t/s
Aug 19 17:05:09 smarty run.sh[905909]: 14.34.956.185 I slot print_timing: id  0 | task 4567 | prompt eval time =     988.44 ms /   677 tokens (    1.46 ms per token,   684.92 tokens per second)
Aug 19 17:05:09 smarty run.sh[905909]: 14.34.956.187 I slot print_timing: id  0 | task 4567 |        eval time =    4009.59 ms /   320 tokens (   12.57 ms per token,    79.56 tokens per second)
Aug 19 17:05:09 smarty run.sh[905909]: 14.34.956.188 I slot print_timing: id  0 | task 4567 |       total time =    4998.02 ms /   997 tokens
Aug 19 17:05:09 smarty run.sh[905909]: 14.34.956.188 I slot print_timing: id  0 | task 4567 |    graphs reused =       4441
Aug 19 17:05:09 smarty run.sh[905909]: 14.34.956.190 I slot print_timing: id  0 | task 4567 | draft acceptance = 0.63939 (  211 accepted /   330 generated), mean len =  2.92
Aug 19 17:05:09 smarty run.sh[905909]: 14.34.957.971 I slot      release: id  0 | task 4567 | stop processing: n_tokens = 110819, truncated = 0
Aug 19 17:05:09 smarty run.sh[905909]: 14.35.173.713 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.992 (> 0.100 thold), f_keep = 1.000
Aug 19 17:05:09 smarty run.sh[905909]: 14.35.174.229 I slot launch_slot_: id  0 | task 4681 | processing task, is_child = 0
Aug 19 17:05:11 smarty run.sh[905909]: 14.37.857.954 I slot print_timing: id  0 | task 4681 | prompt eval time =    1096.30 ms /   867 tokens (    1.26 ms per token,   790.84 tokens per second)
Aug 19 17:05:11 smarty run.sh[905909]: 14.37.857.956 I slot print_timing: id  0 | task 4681 |        eval time =    1587.12 ms /   137 tokens (   11.67 ms per token,    85.69 tokens per second)
Aug 19 17:05:11 smarty run.sh[905909]: 14.37.857.956 I slot print_timing: id  0 | task 4681 |       total time =    2683.42 ms /  1004 tokens
Aug 19 17:05:11 smarty run.sh[905909]: 14.37.857.957 I slot print_timing: id  0 | task 4681 |    graphs reused =       4483
Aug 19 17:05:11 smarty run.sh[905909]: 14.37.857.959 I slot print_timing: id  0 | task 4681 | draft acceptance = 0.73643 (   95 accepted /   129 generated), mean len =  3.21
Aug 19 17:05:11 smarty run.sh[905909]: 14.37.860.055 I slot      release: id  0 | task 4681 | stop processing: n_tokens = 111824, truncated = 0
Aug 19 17:05:12 smarty run.sh[905909]: 14.38.119.527 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.993 (> 0.100 thold), f_keep = 1.000
Aug 19 17:05:12 smarty run.sh[905909]: 14.38.120.041 I slot launch_slot_: id  0 | task 4728 | processing task, is_child = 0
Aug 19 17:05:14 smarty run.sh[905909]: 14.40.776.267 I slot print_timing: id  0 | task 4728 | prompt eval time =     999.67 ms /   756 tokens (    1.32 ms per token,   756.25 tokens per second)
Aug 19 17:05:14 smarty run.sh[905909]: 14.40.776.269 I slot print_timing: id  0 | task 4728 |        eval time =    1656.27 ms /   145 tokens (   11.50 ms per token,    86.94 tokens per second)
Aug 19 17:05:14 smarty run.sh[905909]: 14.40.776.269 I slot print_timing: id  0 | task 4728 |       total time =    2655.94 ms /   901 tokens
Aug 19 17:05:14 smarty run.sh[905909]: 14.40.776.269 I slot print_timing: id  0 | task 4728 |    graphs reused =       4526
Aug 19 17:05:14 smarty run.sh[905909]: 14.40.776.272 I slot print_timing: id  0 | task 4728 | draft acceptance = 0.74815 (  101 accepted /   135 generated), mean len =  3.24
Aug 19 17:05:14 smarty run.sh[905909]: 14.40.778.069 I slot      release: id  0 | task 4728 | stop processing: n_tokens = 112726, truncated = 0
Aug 19 17:05:15 smarty run.sh[905909]: 14.41.008.770 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.997 (> 0.100 thold), f_keep = 1.000
Aug 19 17:05:15 smarty run.sh[905909]: 14.41.009.306 I slot launch_slot_: id  0 | task 4777 | processing task, is_child = 0
Aug 19 17:05:18 smarty run.sh[905909]: 14.44.709.477 I slot print_timing: id  0 | task 4777 | n_gen =    278, tg =  91.96 t/s, tg_3s =  92.29 t/s
Aug 19 17:05:21 smarty run.sh[905909]: 14.47.231.988 I slot print_timing: id  0 | task 4777 | prompt eval time =     687.85 ms /   361 tokens (    1.91 ms per token,   524.83 tokens per second)
Aug 19 17:05:21 smarty run.sh[905909]: 14.47.231.990 I slot print_timing: id  0 | task 4777 |        eval time =    5534.58 ms /   542 tokens (   10.23 ms per token,    97.75 tokens per second)
Aug 19 17:05:21 smarty run.sh[905909]: 14.47.231.990 I slot print_timing: id  0 | task 4777 |       total time =    6222.43 ms /   903 tokens
Aug 19 17:05:21 smarty run.sh[905909]: 14.47.231.991 I slot print_timing: id  0 | task 4777 |    graphs reused =       4673
Aug 19 17:05:21 smarty run.sh[905909]: 14.47.231.993 I slot print_timing: id  0 | task 4777 | draft acceptance = 0.87333 (  393 accepted /   450 generated), mean len =  3.62
Aug 19 17:05:21 smarty run.sh[905909]: 14.47.233.930 I slot      release: id  0 | task 4777 | stop processing: n_tokens = 113630, truncated = 0
Aug 19 17:05:21 smarty run.sh[905909]: 14.47.545.385 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.997 (> 0.100 thold), f_keep = 1.000
Aug 19 17:05:21 smarty run.sh[905909]: 14.47.545.950 I slot launch_slot_: id  0 | task 4930 | processing task, is_child = 0
Aug 19 17:05:24 smarty run.sh[905909]: 14.50.071.289 I slot print_timing: id  0 | task 4930 | prompt eval time =     733.70 ms /   355 tokens (    2.07 ms per token,   483.85 tokens per second)
Aug 19 17:05:24 smarty run.sh[905909]: 14.50.071.290 I slot print_timing: id  0 | task 4930 |        eval time =    1791.48 ms /   160 tokens (   11.27 ms per token,    88.75 tokens per second)
Aug 19 17:05:24 smarty run.sh[905909]: 14.50.071.291 I slot print_timing: id  0 | task 4930 |       total time =    2525.18 ms /   515 tokens
Aug 19 17:05:24 smarty run.sh[905909]: 14.50.071.291 I slot print_timing: id  0 | task 4930 |    graphs reused =       4721
Aug 19 17:05:24 smarty run.sh[905909]: 14.50.071.292 I slot print_timing: id  0 | task 4930 | draft acceptance = 0.74830 (  110 accepted /   147 generated), mean len =  3.24
Aug 19 17:05:24 smarty run.sh[905909]: 14.50.073.169 I slot      release: id  0 | task 4930 | stop processing: n_tokens = 114144, truncated = 0
Aug 19 17:05:24 smarty run.sh[905909]: 14.50.337.484 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.996 (> 0.100 thold), f_keep = 1.000
Aug 19 17:05:24 smarty run.sh[905909]: 14.50.337.999 I slot launch_slot_: id  0 | task 4982 | processing task, is_child = 0
Aug 19 17:05:28 smarty run.sh[905909]: 14.54.228.246 I slot print_timing: id  0 | task 4982 | n_gen =    297, tg =  98.00 t/s, tg_3s =  98.33 t/s
Aug 19 17:05:31 smarty run.sh[905909]: 14.57.263.684 I slot print_timing: id  0 | task 4982 | n_gen =    582, tg =  95.94 t/s, tg_3s =  93.89 t/s
Aug 19 17:05:34 smarty run.sh[905909]: 15.00.264.012 I slot print_timing: id  0 | task 4982 | n_gen =    844, tg =  93.09 t/s, tg_3s =  87.32 t/s
Aug 19 17:05:37 smarty run.sh[905909]: 15.03.280.599 I slot print_timing: id  0 | task 4982 | n_gen =   1090, tg =  90.20 t/s, tg_3s =  81.55 t/s
Aug 19 17:05:38 smarty run.sh[905909]: 15.03.963.607 I slot print_timing: id  0 | task 4982 | prompt eval time =     869.83 ms /   488 tokens (    1.78 ms per token,   561.03 tokens per second)
Aug 19 17:05:38 smarty run.sh[905909]: 15.03.963.609 I slot print_timing: id  0 | task 4982 |        eval time =   12755.50 ms /  1154 tokens (   11.06 ms per token,    90.39 tokens per second)
Aug 19 17:05:38 smarty run.sh[905909]: 15.03.963.609 I slot print_timing: id  0 | task 4982 |       total time =   13625.34 ms /  1642 tokens
Aug 19 17:05:38 smarty run.sh[905909]: 15.03.963.610 I slot print_timing: id  0 | task 4982 |    graphs reused =       5056
Aug 19 17:05:38 smarty run.sh[905909]: 15.03.963.612 I slot print_timing: id  0 | task 4982 | draft acceptance = 0.79570 (  814 accepted /  1023 generated), mean len =  3.39
Aug 19 17:05:38 smarty run.sh[905909]: 15.03.965.504 I slot      release: id  0 | task 4982 | stop processing: n_tokens = 115787, truncated = 0
Aug 19 17:05:38 smarty run.sh[905909]: 15.04.229.664 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.993 (> 0.100 thold), f_keep = 1.000
Aug 19 17:05:38 smarty run.sh[905909]: 15.04.230.221 I slot launch_slot_: id  0 | task 5326 | processing task, is_child = 0
Aug 19 17:05:42 smarty run.sh[905909]: 15.08.386.498 I slot print_timing: id  0 | task 5326 | n_gen =    291, tg =  96.62 t/s, tg_3s =  96.95 t/s
Aug 19 17:05:45 smarty run.sh[905909]: 15.11.398.790 I slot print_timing: id  0 | task 5326 | n_gen =    564, tg =  93.62 t/s, tg_3s =  90.63 t/s
Aug 19 17:05:48 smarty run.sh[905909]: 15.14.421.449 I slot print_timing: id  0 | task 5326 | n_gen =    847, tg =  93.62 t/s, tg_3s =  93.63 t/s
Aug 19 17:05:51 smarty run.sh[905909]: /home/francip/src/llama.cpp/ggml/src/ggml-cuda/ggml-cuda.cu:106: CUDA error
Aug 19 17:05:51 smarty run.sh[905909]: 15.16.975.045 E CUDA error: the launch timed out and was terminated
Aug 19 17:05:51 smarty run.sh[905909]: 15.16.975.047 E   current device: 0, in function ggml_backend_cuda_synchronize at /home/francip/src/llama.cpp/ggml/src/ggml-cuda/ggml-cuda.cu:2530
Aug 19 17:05:51 smarty run.sh[905909]: 15.16.975.048 E   cudaStreamSynchronize(cuda_ctx->stream())
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905975]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905961]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905960]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905959]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905958]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905957]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905956]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905955]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905954]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905953]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905952]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905951]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905950]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905949]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905948]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905947]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905946]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905945]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905944]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905943]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905942]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905941]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905940]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905939]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905938]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905937]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905936]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905935]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905934]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905933]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905932]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905931]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905930]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905927]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905926]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905925]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905924]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905923]
Aug 19 17:05:51 smarty run.sh[916864]: [New LWP 905922]
Aug 19 17:05:51 smarty run.sh[916864]: [Thread debugging using libthread_db enabled]
Aug 19 17:05:51 smarty run.sh[916864]: Using host libthread_db library "/lib/x86_64-linux-gnu/libthread_db.so.1".
Aug 19 17:05:51 smarty run.sh[916864]: 0x000070ac56f10913 in __GI___wait4 (pid=916864, stat_loc=0x0, options=0, usage=0x0) at ../sysdeps/unix/sysv/linux/wait4.c:30
Aug 19 17:05:51 smarty run.sh[916864]: warning: 30        ../sysdeps/unix/sysv/linux/wait4.c: No such file or directory
Aug 19 17:05:51 smarty run.sh[916864]: #0  0x000070ac56f10913 in __GI___wait4 (pid=916864, stat_loc=0x0, options=0, usage=0x0) at ../sysdeps/unix/sysv/linux/wait4.c:30
Aug 19 17:05:51 smarty run.sh[916864]: 30        in ../sysdeps/unix/sysv/linux/wait4.c
Aug 19 17:05:51 smarty run.sh[916864]: #1  0x000057531c764373 in ggml_print_backtrace ()
Aug 19 17:05:51 smarty run.sh[916864]: #2  0x000057531c764517 in ggml_abort ()
Aug 19 17:05:51 smarty run.sh[916864]: #3  0x000057531b892d37 in ggml_cuda_error(char const*, char const*, char const*, int, char const*) ()
Aug 19 17:05:51 smarty run.sh[916864]: #4  0x000057531b8969b8 in ggml_backend_cuda_synchronize(ggml_backend*) ()
Aug 19 17:05:51 smarty run.sh[916864]: #5  0x000057531c7825e5 in ggml_backend_sched_synchronize ()
Aug 19 17:05:51 smarty run.sh[916864]: #6  0x000057531b5c3e99 in llama_synchronize ()
Aug 19 17:05:51 smarty run.sh[916864]: #7  0x000057531b16fef6 in server_queue::yield_to_queue(std::function<void ()>&&) ()
Aug 19 17:05:51 smarty run.sh[916864]: #8  0x000057531b1c89b6 in server_context_impl::decode(int&, int, llama_batch&) ()
Aug 19 17:05:51 smarty run.sh[916864]: #9  0x000057531b1ca432 in server_context_impl::update_slots() ()
Aug 19 17:05:51 smarty run.sh[916864]: #10 0x000057531b170c2b in server_queue::start_loop(long) ()
Aug 19 17:05:51 smarty run.sh[916864]: #11 0x000057531b10e503 in llama_server(common_params&, int, char**) ()
